account_length,international_plan,voice_mail_plan,number_vmail_messages,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,total_minutes,total_calls,total_charge,area_code_area_code_408,area_code_area_code_415,area_code_area_code_510,state_MD,state_MN,state_NJ,state_TX,state_WV,state_other
136,1,1,33,10.5,6,2.84,3,0,493.2,312,55.19,0,1,0,0,0,0,0,0,1
98,0,0,0,9.4,2,2.54,3,0,480.90000000000003,322,44.099999999999994,1,0,0,0,0,0,0,0,1
135,1,1,41,14.6,15,3.94,0,1,499.2,270,52.26,1,0,0,1,0,0,0,0,0
34,0,0,0,10.0,4,2.7,2,0,718.5,258,59.22999999999999,0,0,1,0,0,0,0,0,1
160,0,0,0,9.2,4,2.48,3,0,429.6,279,36.67,0,1,0,0,0,0,0,0,1
64,0,0,0,3.5,3,0.95,1,0,645.1,271,57.31,0,0,1,0,0,0,0,0,1
59,0,1,28,8.5,5,2.3,2,0,497.0,305,46.0,1,0,0,0,0,0,0,0,1
65,0,0,0,13.2,5,3.56,3,0,508.59999999999997,360,55.800000000000004,0,1,0,0,0,0,0,0,1
142,0,0,0,7.4,5,2.0,2,0,563.8,334,54.129999999999995,1,0,0,0,0,0,0,0,1
97,0,1,24,11.0,3,2.97,1,0,421.0,272,44.28,0,1,0,0,0,0,0,0,1
52,0,0,0,7.8,5,2.11,3,0,698.5,291,66.21,1,0,0,0,0,0,0,0,1
60,0,0,0,6.8,3,1.84,1,0,680.7,301,66.65,1,0,0,0,0,0,0,0,1
10,0,0,0,11.4,6,3.08,2,0,659.0999999999999,235,60.540000000000006,1,0,0,0,0,0,0,0,1
96,0,0,0,9.3,5,2.51,2,0,656.2,252,60.25,0,1,0,0,0,0,0,0,1
81,0,0,0,10.2,3,2.75,1,0,695.0,250,63.19,1,0,0,0,0,0,0,0,1
141,0,0,0,8.0,2,2.16,1,0,447.7,288,43.21000000000001,0,1,0,0,0,0,0,0,1
121,0,1,30,5.8,3,1.57,3,1,454.9,283,48.279999999999994,1,0,0,0,0,0,0,0,1
125,0,0,0,12.0,8,3.24,1,0,596.0,324,62.58,1,0,0,0,0,0,0,0,1
174,0,0,0,11.4,4,3.08,1,0,528.6,245,54.599999999999994,1,0,0,0,0,0,0,0,1
116,0,1,34,11.6,3,3.13,2,0,613.1,331,68.28999999999999,0,1,0,0,0,0,0,0,1
149,0,1,28,12.6,3,3.4,3,0,634.0,209,58.629999999999995,1,0,0,0,0,0,0,0,1
38,0,0,0,8.2,6,2.21,2,0,453.1,301,43.3,1,0,0,0,0,0,0,0,1
40,0,1,41,6.2,5,1.67,2,0,531.7,264,49.220000000000006,0,1,0,0,0,0,0,0,1
43,1,0,0,9.3,4,2.51,0,0,622.1,276,67.94999999999999,0,1,0,0,0,0,0,0,1
113,1,0,0,8.3,8,2.24,0,0,460.90000000000003,351,44.64,1,0,0,0,1,0,0,0,0
126,0,0,0,7.8,1,2.11,1,0,582.0,210,61.31999999999999,1,0,0,0,0,0,0,0,1
150,0,0,0,13.8,3,3.73,4,1,496.6,311,51.47,0,0,1,0,0,0,1,0,0
138,0,0,0,11.8,7,3.19,3,0,707.6,280,68.89,1,0,0,0,0,1,0,0,0
162,0,1,46,12.1,2,3.27,0,0,667.7,242,65.69,0,0,1,0,1,0,0,0,0
147,0,0,0,8.0,4,2.16,3,0,570.0,277,62.68,0,0,1,0,0,0,0,0,1
90,0,0,0,7.3,4,1.97,1,0,582.5,368,60.709999999999994,0,1,0,0,0,0,0,0,1
85,0,0,0,12.0,3,3.24,0,0,581.2,302,61.92,0,1,0,0,0,0,0,0,1
50,0,0,0,6.1,2,1.65,1,0,561.8,273,53.849999999999994,0,1,0,0,1,0,0,0,0
82,0,0,0,11.7,4,3.16,0,1,751.4000000000001,282,78.59,0,1,0,0,0,0,0,0,1
144,0,0,0,8.2,7,2.21,4,1,311.7,301,24.81,1,0,0,0,0,0,0,0,1
46,0,0,0,8.2,3,2.21,2,0,556.0,289,58.36,0,1,0,0,1,0,0,0,0
70,0,0,0,15.0,2,4.05,1,0,554.0,276,52.41,1,0,0,1,0,0,0,0,0
144,0,0,0,13.2,2,3.56,1,0,728.6,292,70.07,0,1,0,0,0,0,0,1,0
116,1,0,0,12.6,5,3.4,3,0,698.7,292,66.56,0,1,0,0,0,0,0,0,1
70,0,1,24,9.8,4,2.65,1,0,731.9,267,74.51,0,1,0,0,0,0,0,0,1
128,0,1,29,8.6,7,2.32,0,0,728.2,268,64.22,0,0,1,0,0,0,0,0,1
94,0,0,0,8.0,5,2.16,4,1,502.5,290,48.55,1,0,0,0,0,0,0,0,1
111,0,0,0,12.0,2,3.24,1,0,605.2,292,62.36,0,0,1,0,0,0,0,1,0
74,0,1,35,10.9,9,2.94,2,0,479.6,245,45.78,0,1,0,0,0,0,0,0,1
128,0,0,0,13.9,4,3.75,1,1,694.4,286,70.89,0,1,0,0,0,1,0,0,0
82,0,0,0,11.1,2,3.0,1,0,448.4,260,45.96,0,0,1,0,0,0,0,0,1
155,0,0,0,8.9,4,2.4,0,1,590.3,323,59.63,0,1,0,0,0,0,0,0,1
80,0,0,0,7.9,9,2.13,1,0,550.5,269,47.230000000000004,0,1,0,0,0,0,0,0,1
78,0,0,0,9.5,7,2.57,3,0,695.2,310,70.03,0,1,0,0,0,0,0,0,1
90,0,0,0,10.6,7,2.86,3,0,497.4,243,52.4,0,1,0,0,0,0,0,0,1
73,0,0,0,13.0,4,3.51,0,0,547.5,254,53.17999999999999,0,1,0,0,0,0,0,0,1
99,0,0,0,8.7,3,2.35,4,0,596.4,276,59.900000000000006,0,1,0,0,0,0,0,0,1
120,0,0,0,5.3,5,1.43,1,1,588.7,331,61.379999999999995,1,0,0,0,0,0,0,0,1
77,0,0,0,9.8,7,2.65,2,1,732.7,307,72.67,0,1,0,0,0,0,0,0,1
98,0,1,21,4.4,8,1.19,4,0,573.5999999999999,289,56.050000000000004,0,0,1,0,0,0,0,0,1
108,0,0,0,14.6,5,3.94,0,0,496.4,315,52.19,0,1,0,0,0,0,0,0,1
95,0,0,0,12.5,9,3.38,1,0,563.9000000000001,307,49.6,1,0,0,0,0,0,0,0,1
122,0,0,0,11.3,2,3.05,1,0,592.8,278,54.94,1,0,0,0,0,0,0,0,1
95,0,0,0,11.8,4,3.19,4,0,615.3,278,64.94,1,0,0,0,0,0,0,0,1
36,0,1,29,9.0,6,2.43,2,0,670.8,291,73.45,0,0,1,0,0,0,0,0,1
93,0,1,21,9.8,3,2.65,1,0,499.4,332,43.779999999999994,0,0,1,0,0,0,0,0,1
157,0,0,0,9.6,7,2.59,3,0,619.1,319,62.5,1,0,0,0,0,0,0,0,1
120,0,0,0,8.3,8,2.24,1,0,601.4,269,60.370000000000005,1,0,0,0,0,0,0,0,1
98,0,0,0,12.1,4,3.27,4,0,579.5999999999999,343,53.85,1,0,0,0,0,0,0,0,1
125,0,0,0,13.3,7,3.59,1,0,580.5,312,50.199999999999996,1,0,0,0,0,0,0,0,1
63,0,0,0,9.4,3,2.54,1,0,439.9,272,33.94,0,1,0,0,0,0,0,0,1
36,1,1,42,20.0,6,5.4,0,1,590.0,337,61.35,0,0,1,0,0,0,0,0,1
64,0,0,0,14.2,3,3.83,1,0,372.4,314,43.18000000000001,0,0,1,0,0,1,0,0,0
74,0,0,0,9.4,4,2.54,1,1,672.4,277,74.37,0,1,0,0,0,0,0,0,1
46,0,0,0,13.1,7,3.54,1,0,637.6,285,64.05,1,0,0,0,0,0,0,0,1
41,0,1,22,7.2,3,1.94,0,0,497.8,311,54.800000000000004,1,0,0,0,0,0,1,0,0
121,0,0,0,9.8,4,2.65,3,0,595.0,323,57.96,0,0,1,1,0,0,0,0,0
193,0,0,0,11.6,3,3.13,1,0,416.1,308,45.379999999999995,0,1,0,0,0,0,0,0,1
130,0,0,0,9.2,5,2.48,2,0,491.79999999999995,334,45.81,0,0,1,0,0,0,0,0,1
85,0,0,0,12.0,3,3.24,1,0,683.3,262,65.1,1,0,0,0,0,0,0,0,1
162,0,0,0,9.1,3,2.46,4,1,383.0,277,32.38,0,1,0,0,0,0,0,0,1
61,0,1,27,6.4,6,1.73,4,1,559.8,356,54.5,0,0,1,0,0,0,0,0,1
92,0,0,0,9.2,4,2.48,2,0,460.4,299,39.93,1,0,0,0,0,0,1,0,0
90,0,0,0,10.9,2,2.94,3,0,510.1,329,49.849999999999994,0,1,0,0,0,0,0,0,1
75,0,0,0,6.1,5,1.65,1,0,581.2,291,53.269999999999996,1,0,0,0,0,0,0,0,1
78,0,0,0,9.5,3,2.57,1,0,722.8,375,70.61,0,1,0,0,0,1,0,0,0
82,0,0,0,7.1,1,1.92,4,0,607.6,258,60.42,1,0,0,0,0,0,1,0,0
163,0,0,0,9.1,10,2.46,1,0,606.0,317,60.0,1,0,0,0,0,0,0,0,1
91,1,0,0,11.2,3,3.02,3,0,550.4000000000001,325,47.93,0,0,1,0,0,0,0,0,1
127,0,1,36,11.2,8,3.02,1,0,573.3,264,53.77,0,0,1,0,0,0,0,0,1
113,0,1,23,10.2,5,2.75,2,0,515.6,220,54.910000000000004,0,1,0,0,0,0,0,0,1
110,0,0,0,12.4,3,3.35,1,0,618.5,311,57.449999999999996,0,0,1,0,0,0,0,0,1
120,0,1,39,10.5,4,2.84,0,0,674.5,281,64.2,0,1,0,1,0,0,0,0,0
157,0,1,28,6.8,5,1.84,3,0,497.8,320,54.3,0,1,0,0,0,0,0,0,1
103,0,0,0,11.7,4,3.16,1,0,642.5,227,67.55,0,0,1,0,0,0,0,0,1
117,1,0,0,14.1,7,3.81,2,1,594.0,305,54.72,1,0,0,0,0,0,0,0,1
121,0,0,0,8.5,5,2.3,1,0,561.5,322,56.69,1,0,0,0,0,0,0,0,1
145,0,1,43,11.1,4,3.0,2,0,706.6999999999999,278,70.5,1,0,0,0,0,0,0,0,1
113,0,0,0,10.6,6,2.86,1,0,587.5,291,59.52,1,0,0,0,0,0,0,0,1
117,0,0,0,10.1,7,2.73,1,0,608.5,315,48.51,0,1,0,0,0,0,0,0,1
65,0,0,0,7.5,6,2.03,1,0,572.8,319,55.57000000000001,1,0,0,0,0,0,0,0,1
56,0,0,0,6.9,11,1.86,1,0,615.0,372,65.86000000000001,0,1,0,0,0,0,0,0,1
96,0,0,0,11.5,4,3.11,5,0,675.9,248,68.81,0,1,0,0,0,0,0,0,1
151,0,0,0,9.8,4,2.65,0,0,736.7,355,67.17999999999999,1,0,0,0,0,0,0,0,1
83,0,0,0,15.8,7,4.27,0,1,718.6999999999999,350,83.62,0,1,0,0,0,0,0,0,1
139,0,1,23,13.7,2,3.7,0,0,663.8,337,59.45,0,0,1,0,0,0,0,0,1
6,0,0,0,10.2,2,2.75,1,0,618.9,268,61.07,0,0,1,0,0,0,0,0,1
115,0,1,24,9.6,4,2.59,1,0,490.3,367,47.17,0,0,1,0,0,0,0,0,1
141,0,0,0,12.0,6,3.24,0,0,712.1,324,68.85,0,1,0,0,0,0,0,0,1
62,0,0,0,12.2,1,3.29,1,0,470.9,307,38.97,0,1,0,0,0,0,0,0,1
185,0,1,31,7.5,3,2.03,1,0,617.9000000000001,385,58.07000000000001,0,0,1,0,0,0,0,0,1
148,0,0,0,10.9,3,2.94,1,0,706.5,320,66.77000000000001,0,1,0,0,0,0,0,0,1
94,0,1,38,12.8,4,3.46,1,0,469.29999999999995,313,50.120000000000005,1,0,0,0,0,0,0,0,1
32,0,0,0,6.3,2,1.7,0,0,572.3,230,62.11,0,0,1,0,0,0,0,0,1
68,0,0,0,13.2,2,3.56,1,0,558.0,289,63.690000000000005,1,0,0,0,0,0,0,0,1
25,0,0,0,10.5,4,2.84,3,0,599.7,274,50.36000000000001,0,1,0,0,0,0,0,0,1
65,0,0,0,14.1,2,3.81,1,0,478.1,330,43.28,0,1,0,0,0,0,0,0,1
179,0,0,0,6.1,5,1.65,0,0,613.3,321,60.96999999999999,1,0,0,0,0,0,0,0,1
94,0,0,0,11.1,7,3.0,2,0,592.5,335,65.0,0,1,0,0,0,0,0,0,1
62,0,0,0,12.2,3,3.29,0,0,532.7,313,49.97,0,1,0,0,1,0,0,0,0
116,0,0,0,16.2,10,4.37,3,0,575.6,281,55.36,1,0,0,0,0,0,0,0,1
70,0,0,0,0.0,0,0.0,3,0,725.5999999999999,346,73.36,1,0,0,0,0,0,0,0,1
94,1,1,23,9.5,5,2.57,4,0,693.8,364,64.44,0,0,1,0,0,0,0,1,0
126,0,0,0,11.9,1,3.21,5,1,333.7,303,27.84,0,1,0,0,0,0,0,0,1
67,0,1,36,9.9,12,2.67,2,0,523.1999999999999,308,47.49999999999999,1,0,0,0,0,0,0,0,1
19,0,0,0,14.6,7,3.94,2,0,654.4,282,62.89000000000001,1,0,0,0,0,0,0,0,1
170,1,0,0,8.4,3,2.27,3,0,639.3,311,71.05999999999999,0,0,1,0,0,0,0,0,1
73,0,0,0,10.8,13,2.92,1,0,724.0,372,70.1,0,1,0,0,0,0,0,0,1
106,0,0,0,10.2,4,2.75,1,0,421.5,316,41.38,1,0,0,0,0,0,0,0,1
93,0,0,0,10.9,3,2.94,2,0,578.3,300,69.15,0,1,0,0,0,0,0,0,1
51,0,0,0,9.1,3,2.46,1,0,651.0,311,65.84,1,0,0,0,0,0,0,0,1
130,0,0,0,9.5,2,2.57,1,0,505.6,282,48.49,0,1,0,0,0,0,1,0,0
80,0,0,0,8.8,4,2.38,2,0,613.2,270,61.629999999999995,1,0,0,0,0,0,0,0,1
94,0,0,0,13.4,2,3.62,0,0,490.7,337,47.4,0,1,0,0,0,0,0,0,1
118,0,1,23,9.5,4,2.57,1,0,575.2,251,68.74,1,0,0,0,0,0,0,0,1
117,0,1,23,6.8,6,1.84,1,0,555.6,264,56.85,0,1,0,1,0,0,0,0,0
78,0,0,0,9.7,8,2.62,0,0,593.4,360,52.709999999999994,0,1,0,0,0,0,0,0,1
208,0,0,0,10.7,6,2.89,2,1,684.5,282,78.68,0,0,1,0,0,0,1,0,0
131,1,1,26,13.8,7,3.73,4,1,747.9,325,78.24999999999999,0,0,1,0,0,0,0,0,1
63,0,0,0,13.0,3,3.51,0,0,505.7,259,40.22,1,0,0,0,0,0,0,0,1
53,0,1,24,13.1,5,3.54,3,0,616.1,378,54.76,0,1,0,0,1,0,0,0,0
62,0,0,0,11.2,1,3.02,2,0,755.5,325,69.92,1,0,0,0,0,0,0,0,1
97,0,0,0,6.4,8,1.73,3,0,642.5,290,63.52,0,1,0,1,0,0,0,0,0
105,0,0,0,6.8,3,1.84,2,0,536.2,243,48.839999999999996,0,0,1,0,0,0,0,0,1
157,0,0,0,9.4,4,2.54,1,0,608.3,278,56.760000000000005,0,1,0,0,0,0,0,0,1
66,0,1,36,12.1,2,3.27,1,0,506.9,270,44.54,0,1,0,0,0,0,0,0,1
122,0,0,0,13.7,8,3.7,2,0,507.50000000000006,254,56.67,0,1,0,0,0,0,0,0,1
38,0,0,0,10.8,5,2.92,3,0,604.4000000000001,279,58.97,0,1,0,0,0,0,0,0,1
106,0,0,0,12.2,5,3.29,3,0,625.9000000000001,289,60.97,0,0,1,1,0,0,0,0,0
99,0,0,0,15.8,7,4.27,3,0,690.0,290,68.06,0,0,1,0,0,0,0,0,1
99,0,0,0,11.6,10,3.13,1,0,584.9,279,62.69,0,1,0,0,0,0,0,0,1
144,1,0,0,11.9,11,3.21,0,0,645.4000000000001,297,64.39,0,0,1,0,0,0,0,0,1
93,0,0,0,11.5,6,3.11,3,0,583.0999999999999,322,55.79,0,1,0,0,0,0,0,0,1
120,0,0,0,4.7,7,1.27,3,0,669.5999999999999,253,61.599999999999994,0,1,0,0,0,0,0,0,1
106,0,0,0,7.1,12,1.92,0,0,521.8,326,55.76,0,1,0,0,0,0,0,0,1
81,0,0,0,12.2,6,3.29,3,0,548.4,313,53.730000000000004,0,1,0,0,0,0,0,0,1
127,0,1,22,10.2,6,2.75,1,0,585.4,285,54.06999999999999,1,0,0,0,0,0,0,0,1
65,0,0,0,4.4,2,1.19,1,0,629.2,312,56.25,0,1,0,0,0,0,0,0,1
35,0,0,0,8.9,6,2.4,2,0,565.8,339,53.81,1,0,0,0,0,0,0,0,1
88,0,0,0,13.8,1,3.73,2,0,469.6,286,36.04,1,0,0,0,0,0,0,0,1
65,0,0,0,2.7,4,0.73,1,0,698.0,328,67.46000000000001,0,1,0,0,0,0,0,0,1
123,0,0,0,7.7,2,2.08,3,0,673.1,299,65.94,0,1,0,0,0,0,0,0,1
126,0,1,27,9.6,3,2.59,2,0,452.29999999999995,300,51.209999999999994,1,0,0,0,0,0,0,0,1
45,0,1,22,11.9,3,3.21,0,0,673.0999999999999,284,67.39,0,1,0,0,0,0,0,0,1
93,1,0,0,10.5,2,2.84,0,1,659.0,283,73.82999999999998,1,0,0,1,0,0,0,0,0
63,1,1,36,11.0,6,2.97,1,0,687.9,313,67.48,0,1,0,0,0,0,0,0,1
100,0,0,0,13.5,2,3.65,3,0,601.0,344,61.120000000000005,0,1,0,0,0,0,0,0,1
53,0,0,0,10.9,2,2.94,0,0,543.4000000000001,297,54.37,0,1,0,0,0,0,0,0,1
92,1,0,0,9.0,5,2.43,1,0,646.5999999999999,362,60.35,0,1,0,0,0,0,0,0,1
139,0,0,0,10.2,2,2.75,5,1,539.3000000000001,329,49.52,0,0,1,0,1,0,0,0,0
110,0,1,40,9.0,9,2.43,2,0,556.3,329,55.11,1,0,0,0,0,0,0,0,1
110,0,0,0,9.8,7,2.65,3,0,467.5,316,38.39,1,0,0,0,0,0,0,0,1
215,0,0,0,10.7,9,2.89,0,0,431.1,349,34.69,0,0,1,0,0,0,0,0,1
138,0,0,0,12.9,5,3.48,0,0,503.8,293,53.73,0,0,1,0,0,1,0,0,0
137,1,0,0,12.3,2,3.32,2,1,492.29999999999995,278,44.41,0,1,0,0,0,0,0,0,1
85,0,0,0,7.1,2,1.92,3,0,596.2,254,62.03,1,0,0,0,0,0,0,1,0
22,0,0,0,9.5,5,2.57,0,0,479.1,296,42.0,1,0,0,0,0,0,0,0,1
107,0,1,37,11.1,3,3.0,0,0,424.0,288,30.67,0,1,0,0,0,0,0,0,1
51,0,0,0,10.2,5,2.75,0,0,647.9,218,61.99,0,0,1,0,0,0,0,0,1
94,0,0,0,9.2,2,2.48,4,0,630.1,280,59.18,1,0,0,0,0,0,0,0,1
33,0,1,29,13.9,11,3.75,4,1,554.5,258,49.34,0,1,0,0,0,0,0,0,1
106,0,0,0,14.4,7,3.89,4,0,571.7,343,58.59,0,1,0,0,0,1,0,0,0
86,0,1,41,9.5,3,2.57,0,0,585.9,293,50.44,0,0,1,0,0,0,0,0,1
97,1,0,0,10.9,3,2.94,0,0,595.0,280,55.66,0,1,0,0,0,0,1,0,0
106,0,1,32,14.1,8,3.81,4,0,555.5,305,54.38999999999999,1,0,0,0,0,0,0,0,1
108,0,0,0,9.8,3,2.65,1,0,542.5,331,48.63,0,0,1,0,0,0,0,0,1
114,0,0,0,14.5,8,3.92,1,0,528.0,299,44.34,0,1,0,0,0,0,1,0,0
92,1,0,0,10.4,2,2.81,1,1,464.9,317,35.97,1,0,0,0,0,0,0,0,1
59,0,0,0,8.7,4,2.35,1,0,559.9,282,53.99999999999999,0,0,1,0,0,0,0,0,1
24,0,1,25,6.7,9,1.81,1,0,605.4000000000001,270,56.22,0,0,1,0,1,0,0,0,0
151,0,0,0,15.4,1,4.16,1,0,501.5,261,45.11,1,0,0,0,0,0,0,0,1
117,0,0,0,11.5,3,3.11,1,0,539.8,307,50.65,0,1,0,0,0,0,0,0,1
78,0,0,0,12.5,1,3.38,1,0,630.5,319,58.26,0,0,1,0,0,0,0,0,1
155,0,0,0,8.3,6,2.24,2,0,603.5,253,67.74,1,0,0,0,0,0,0,0,1
114,0,1,30,11.4,6,3.08,1,0,757.8,253,70.27,0,0,1,0,0,0,0,1,0
114,0,1,28,8.4,9,2.27,4,0,651.2,311,65.25999999999999,0,0,1,0,0,0,0,0,1
119,0,0,0,13.5,6,3.65,3,0,572.7,265,49.88,1,0,0,0,0,0,0,0,1
118,1,0,0,9.9,3,2.67,2,0,520.2,318,50.43,1,0,0,0,0,0,0,0,1
101,0,0,0,14.6,3,3.94,0,0,681.4,322,65.49,0,1,0,0,0,0,0,0,1
117,0,0,0,7.7,3,2.08,1,0,515.6,308,47.24,0,1,0,0,0,0,0,0,1
49,0,1,28,8.0,13,2.16,3,0,655.8,285,65.72,0,1,0,0,0,0,0,0,1
139,0,0,0,13.0,3,3.51,3,0,630.4000000000001,301,61.84,0,1,0,0,0,0,0,0,1
92,0,1,28,10.0,3,2.7,1,0,585.0999999999999,283,53.01,1,0,0,0,0,0,0,0,1
148,1,0,0,11.1,4,3.0,0,0,630.2,272,64.04,0,0,1,0,0,0,0,0,1
144,0,1,48,6.5,2,1.76,2,1,527.4000000000001,269,52.400000000000006,1,0,0,0,0,0,0,0,1
131,0,1,25,10.9,6,2.94,2,0,672.8,249,63.39999999999999,0,1,0,0,0,0,0,0,1
146,1,0,0,10.5,6,2.84,3,0,646.2,339,63.39,0,0,1,0,0,0,0,0,1
143,0,0,0,13.0,4,3.51,2,0,534.5,324,52.55,0,1,0,0,0,0,0,0,1
81,0,0,0,10.4,6,2.81,2,0,602.6,272,60.36,0,1,0,0,1,0,0,0,0
48,0,1,37,12.2,1,3.29,1,0,515.7,279,56.06,0,1,0,0,0,0,0,0,1
145,0,1,24,15.6,3,4.21,2,0,575.3,300,51.349999999999994,1,0,0,0,0,0,0,0,1
137,0,0,0,8.8,5,2.38,2,0,528.9,308,54.720000000000006,0,0,1,0,0,0,0,0,1
137,0,0,0,14.5,4,3.92,2,0,705.1,258,65.84,1,0,0,0,0,0,0,0,1
167,0,0,0,14.1,5,3.81,0,0,595.2,249,58.019999999999996,0,0,1,0,0,0,0,0,1
89,0,0,0,5.3,3,1.43,1,1,876.9,298,87.88,0,0,1,0,0,0,0,0,1
199,0,1,34,8.0,2,2.16,0,0,749.3,314,71.32000000000001,0,1,0,0,0,0,0,0,1
132,0,0,0,9.7,3,2.62,0,0,353.7,314,33.52,0,0,1,0,0,0,0,0,1
94,0,0,0,5.9,4,1.59,1,0,517.8,332,53.199999999999996,0,0,1,0,0,0,0,0,1
96,0,1,18,9.8,3,2.65,1,0,565.6,269,52.38,0,0,1,0,0,0,0,0,1
166,0,0,0,9.5,5,2.57,1,0,600.9000000000001,376,59.76,0,0,1,0,0,0,0,0,1
74,0,0,0,10.1,5,2.73,2,0,475.79999999999995,235,42.03,0,1,0,0,0,0,0,0,1
36,0,0,0,11.9,1,3.21,0,0,582.3,274,53.28,0,1,0,0,0,0,0,0,1
113,0,0,0,6.6,9,1.78,4,0,641.3,337,64.55000000000001,0,1,0,0,0,0,0,0,1
67,0,0,0,11.9,4,3.21,2,0,477.5,272,47.36,0,1,0,1,0,0,0,0,0
127,0,0,0,5.9,2,1.59,1,1,738.6000000000001,393,77.15,0,1,0,0,0,0,0,0,1
158,0,0,0,9.1,4,2.46,1,0,691.6,309,62.57,0,1,0,0,0,0,0,0,1
136,0,0,0,10.3,10,2.78,1,0,559.7,284,46.830000000000005,0,0,1,0,0,0,0,0,1
196,0,0,0,9.1,5,2.46,2,0,656.6,293,68.78,0,1,0,0,0,0,0,0,1
113,0,0,0,8.5,10,2.3,1,1,754.4000000000001,334,78.7,0,1,0,0,0,0,0,0,1
122,0,0,0,11.4,3,3.08,4,1,645.1,295,74.68,1,0,0,0,0,0,0,0,1
112,0,0,0,11.4,2,3.08,0,0,568.1,290,57.48,0,0,1,0,0,0,0,0,1
209,0,0,0,8.9,4,2.4,3,0,669.0999999999999,294,68.84,0,1,0,0,0,0,0,0,1
62,0,0,0,13.2,2,3.56,1,1,734.4,305,72.94,0,1,0,0,1,0,0,0,0
110,0,1,38,9.7,6,2.62,1,0,615.7,296,65.08,0,1,0,0,0,0,1,0,0
16,0,0,0,10.9,3,2.94,0,0,595.2,226,59.26,0,0,1,0,0,0,0,0,1
73,0,0,0,9.8,4,2.65,0,0,579.4,335,49.06,1,0,0,0,0,0,0,0,1
128,0,0,0,18.9,2,5.1,0,0,585.0,317,50.19,1,0,0,0,0,0,0,0,1
39,0,0,0,12.4,3,3.35,1,0,490.5,324,41.879999999999995,1,0,0,0,0,0,0,0,1
103,0,1,28,7.7,4,2.08,2,0,551.9,281,50.769999999999996,0,1,0,0,0,0,0,0,1
