account_length,international_plan,voice_mail_plan,number_vmail_messages,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,total_minutes,total_calls,total_charge,area_code_area_code_408,area_code_area_code_415,area_code_area_code_510,state_MD,state_MN,state_NJ,state_TX,state_WV,state_other,avg_mt_minutes,avg_mt_calls,avg_mt_charge,avg_call_charge,avg_intl_call_charge,avg_call_minutes,avg_intl_call_minutes,both_plans
85,0,1,27,13.8,4,3.73,1,0,566.5999999999999,304,61.28999999999999,1,0,0,0,0,0,0,0,1,6.665882352941176,3.5764705882352943,0.7210588235294116,0.20161184210526314,0.9325,1.863815789473684,3.45,0
76,0,1,33,10.0,5,2.7,1,0,568.2,239,57.800000000000004,0,0,1,0,0,0,0,0,1,7.476315789473685,3.1447368421052633,0.7605263157894737,0.24184100418410043,0.54,2.377405857740586,2.0,0
73,0,0,0,13.0,2,3.51,1,0,576.7,252,60.39,0,1,0,0,0,0,1,0,0,7.9,3.452054794520548,0.8272602739726027,0.23964285714285716,1.755,2.288492063492064,6.5,0
147,0,0,0,10.6,4,2.86,0,0,603.5999999999999,343,56.14,0,1,0,0,0,0,0,0,1,4.106122448979591,2.3333333333333335,0.3819047619047619,0.1636734693877551,0.715,1.7597667638483963,2.65,0
77,0,0,0,5.7,6,1.54,5,1,441.9,274,34.48,1,0,0,0,0,0,0,0,1,5.738961038961039,3.5584415584415585,0.44779220779220774,0.12583941605839416,0.25666666666666665,1.6127737226277372,0.9500000000000001,0
130,0,0,0,9.5,19,2.57,0,0,437.70000000000005,289,45.49,0,1,0,0,0,0,0,0,1,3.366923076923077,2.223076923076923,0.34992307692307695,0.15740484429065746,0.13526315789473684,1.5145328719723186,0.5,0
111,0,0,0,7.7,6,2.08,2,0,437.3,310,38.97,0,1,0,0,0,0,0,0,1,3.9396396396396396,2.7927927927927927,0.35108108108108105,0.12570967741935485,0.3466666666666667,1.4106451612903226,1.2833333333333334,0
132,0,0,0,10.3,2,2.78,0,0,563.3,273,45.3,0,0,1,0,0,0,0,0,1,4.267424242424242,2.0681818181818183,0.34318181818181814,0.16593406593406593,1.39,2.063369963369963,5.15,0
57,0,1,39,9.5,3,2.57,0,0,586.8,342,60.67,1,0,0,0,0,0,0,0,1,10.294736842105262,6.0,1.0643859649122807,0.17739766081871344,0.8566666666666666,1.7157894736842103,3.1666666666666665,0
54,0,0,0,14.7,4,3.97,3,0,391.9,241,40.64,1,0,0,0,0,0,0,0,1,7.257407407407407,4.462962962962963,0.7525925925925926,0.16863070539419087,0.9925,1.6261410788381743,3.675,0
20,0,0,0,6.3,6,1.7,0,0,629.7,295,62.42,0,1,0,0,0,0,0,0,1,31.485000000000003,14.75,3.121,0.21159322033898306,0.2833333333333333,2.134576271186441,1.05,0
49,0,0,0,11.1,1,3.0,1,0,513.0999999999999,316,46.6,0,0,1,0,0,0,0,0,1,10.47142857142857,6.448979591836735,0.9510204081632654,0.14746835443037976,3.0,1.6237341772151896,11.1,0
75,0,0,0,10.3,5,2.78,1,0,673.8,310,66.64999999999999,0,0,1,0,0,0,0,0,1,8.984,4.133333333333334,0.8886666666666666,0.21499999999999997,0.5559999999999999,2.173548387096774,2.06,0
12,0,0,0,11.8,3,3.19,1,1,782.2,327,76.49,1,0,0,0,0,0,0,0,1,65.18333333333334,27.25,6.3741666666666665,0.233914373088685,1.0633333333333332,2.3920489296636087,3.9333333333333336,0
57,0,1,25,8.3,4,2.24,0,0,585.3,285,56.25,1,0,0,0,0,0,0,0,1,10.268421052631577,5.0,0.9868421052631579,0.19736842105263158,0.56,2.0536842105263156,2.075,0
36,0,1,30,14.5,6,3.92,0,0,438.1,317,44.5,1,0,0,0,0,0,0,0,1,12.169444444444444,8.805555555555555,1.2361111111111112,0.14037854889589904,0.6533333333333333,1.382018927444795,2.4166666666666665,0
78,0,0,0,10.0,5,2.7,1,0,582.3,288,51.5,0,1,0,0,0,0,0,0,1,7.465384615384615,3.6923076923076925,0.6602564102564102,0.17881944444444445,0.54,2.0218749999999996,2.0,0
136,1,1,33,10.5,6,2.84,3,0,493.2,312,55.19,0,1,0,0,0,0,0,0,1,3.626470588235294,2.2941176470588234,0.4058088235294117,0.17689102564102563,0.47333333333333333,1.5807692307692307,1.75,1
98,0,0,0,9.4,2,2.54,3,0,480.90000000000003,322,44.099999999999994,1,0,0,0,0,0,0,0,1,4.9071428571428575,3.2857142857142856,0.44999999999999996,0.13695652173913042,1.27,1.4934782608695654,4.7,0
135,1,1,41,14.6,15,3.94,0,1,499.2,270,52.26,1,0,0,1,0,0,0,0,0,3.6977777777777776,2.0,0.3871111111111111,0.19355555555555554,0.26266666666666666,1.8488888888888888,0.9733333333333333,1
34,0,0,0,10.0,4,2.7,2,0,718.5,258,59.22999999999999,0,0,1,0,0,0,0,0,1,21.13235294117647,7.588235294117647,1.7420588235294114,0.22957364341085268,0.675,2.7848837209302326,2.5,0
160,0,0,0,9.2,4,2.48,3,0,429.6,279,36.67,0,1,0,0,0,0,0,0,1,2.685,1.74375,0.22918750000000002,0.1314336917562724,0.62,1.5397849462365591,2.3,0
64,0,0,0,3.5,3,0.95,1,0,645.1,271,57.31,0,0,1,0,0,0,0,0,1,10.0796875,4.234375,0.89546875,0.2114760147601476,0.31666666666666665,2.3804428044280446,1.1666666666666667,0
59,0,1,28,8.5,5,2.3,2,0,497.0,305,46.0,1,0,0,0,0,0,0,0,1,8.423728813559322,5.169491525423729,0.7796610169491526,0.15081967213114755,0.45999999999999996,1.6295081967213114,1.7,0
65,0,0,0,13.2,5,3.56,3,0,508.59999999999997,360,55.800000000000004,0,1,0,0,0,0,0,0,1,7.8246153846153845,5.538461538461538,0.8584615384615385,0.155,0.712,1.4127777777777777,2.6399999999999997,0
142,0,0,0,7.4,5,2.0,2,0,563.8,334,54.129999999999995,1,0,0,0,0,0,0,0,1,3.9704225352112674,2.352112676056338,0.3811971830985915,0.16206586826347305,0.4,1.6880239520958082,1.48,0
97,0,1,24,11.0,3,2.97,1,0,421.0,272,44.28,0,1,0,0,0,0,0,0,1,4.34020618556701,2.804123711340206,0.45649484536082474,0.16279411764705884,0.9900000000000001,1.5477941176470589,3.6666666666666665,0
52,0,0,0,7.8,5,2.11,3,0,698.5,291,66.21,1,0,0,0,0,0,0,0,1,13.432692307692308,5.596153846153846,1.2732692307692306,0.22752577319587627,0.422,2.4003436426116838,1.56,0
60,0,0,0,6.8,3,1.84,1,0,680.7,301,66.65,1,0,0,0,0,0,0,0,1,11.345,5.016666666666667,1.1108333333333333,0.22142857142857145,0.6133333333333334,2.2614617940199335,2.2666666666666666,0
10,0,0,0,11.4,6,3.08,2,0,659.0999999999999,235,60.540000000000006,1,0,0,0,0,0,0,0,1,65.91,23.5,6.054,0.25761702127659575,0.5133333333333333,2.8046808510638295,1.9000000000000001,0
96,0,0,0,9.3,5,2.51,2,0,656.2,252,60.25,0,1,0,0,0,0,0,0,1,6.835416666666667,2.625,0.6276041666666666,0.2390873015873016,0.502,2.603968253968254,1.86,0
81,0,0,0,10.2,3,2.75,1,0,695.0,250,63.19,1,0,0,0,0,0,0,0,1,8.580246913580247,3.0864197530864197,0.7801234567901234,0.25276,0.9166666666666666,2.78,3.4,0
141,0,0,0,8.0,2,2.16,1,0,447.7,288,43.21000000000001,0,1,0,0,0,0,0,0,1,3.175177304964539,2.0425531914893615,0.3064539007092199,0.15003472222222225,1.08,1.5545138888888888,4.0,0
121,0,1,30,5.8,3,1.57,3,1,454.9,283,48.279999999999994,1,0,0,0,0,0,0,0,1,3.7595041322314047,2.3388429752066116,0.39900826446280985,0.1706007067137809,0.5233333333333333,1.6074204946996467,1.9333333333333333,0
125,0,0,0,12.0,8,3.24,1,0,596.0,324,62.58,1,0,0,0,0,0,0,0,1,4.768,2.592,0.50064,0.19314814814814815,0.405,1.8395061728395061,1.5,0
174,0,0,0,11.4,4,3.08,1,0,528.6,245,54.599999999999994,1,0,0,0,0,0,0,0,1,3.037931034482759,1.4080459770114941,0.3137931034482758,0.22285714285714284,0.77,2.1575510204081634,2.85,0
116,0,1,34,11.6,3,3.13,2,0,613.1,331,68.28999999999999,0,1,0,0,0,0,0,0,1,5.285344827586207,2.853448275862069,0.588706896551724,0.20631419939577036,1.0433333333333332,1.8522658610271905,3.8666666666666667,0
149,0,1,28,12.6,3,3.4,3,0,634.0,209,58.629999999999995,1,0,0,0,0,0,0,0,1,4.25503355704698,1.4026845637583893,0.393489932885906,0.2805263157894737,1.1333333333333333,3.0334928229665072,4.2,0
38,0,0,0,8.2,6,2.21,2,0,453.1,301,43.3,1,0,0,0,0,0,0,0,1,11.923684210526316,7.921052631578948,1.1394736842105262,0.14385382059800664,0.36833333333333335,1.5053156146179403,1.3666666666666665,0
40,0,1,41,6.2,5,1.67,2,0,531.7,264,49.220000000000006,0,1,0,0,0,0,0,0,1,13.2925,6.6,1.2305000000000001,0.18643939393939396,0.33399999999999996,2.0140151515151516,1.24,0
43,1,0,0,9.3,4,2.51,0,0,622.1,276,67.94999999999999,0,1,0,0,0,0,0,0,1,14.467441860465117,6.4186046511627906,1.5802325581395347,0.246195652173913,0.6275,2.253985507246377,2.325,0
113,1,0,0,8.3,8,2.24,0,0,460.90000000000003,351,44.64,1,0,0,0,1,0,0,0,0,4.078761061946903,3.106194690265487,0.3950442477876106,0.12717948717948718,0.28,1.3131054131054132,1.0375,0
126,0,0,0,7.8,1,2.11,1,0,582.0,210,61.31999999999999,1,0,0,0,0,0,0,0,1,4.619047619047619,1.6666666666666667,0.48666666666666664,0.292,2.11,2.7714285714285714,7.8,0
150,0,0,0,13.8,3,3.73,4,1,496.6,311,51.47,0,0,1,0,0,0,1,0,0,3.3106666666666666,2.0733333333333333,0.34313333333333335,0.1654983922829582,1.2433333333333334,1.5967845659163988,4.6000000000000005,0
138,0,0,0,11.8,7,3.19,3,0,707.6,280,68.89,1,0,0,0,0,1,0,0,0,5.127536231884058,2.028985507246377,0.49920289855072464,0.24603571428571427,0.4557142857142857,2.527142857142857,1.6857142857142857,0
162,0,1,46,12.1,2,3.27,0,0,667.7,242,65.69,0,0,1,0,1,0,0,0,0,4.121604938271605,1.4938271604938271,0.4054938271604938,0.2714462809917355,1.635,2.7590909090909093,6.05,0
147,0,0,0,8.0,4,2.16,3,0,570.0,277,62.68,0,0,1,0,0,0,0,0,1,3.877551020408163,1.8843537414965987,0.42639455782312924,0.22628158844765342,0.54,2.0577617328519855,2.0,0
90,0,0,0,7.3,4,1.97,1,0,582.5,368,60.709999999999994,0,1,0,0,0,0,0,0,1,6.472222222222222,4.088888888888889,0.6745555555555555,0.16497282608695651,0.4925,1.5828804347826086,1.825,0
85,0,0,0,12.0,3,3.24,0,0,581.2,302,61.92,0,1,0,0,0,0,0,0,1,6.83764705882353,3.552941176470588,0.7284705882352941,0.20503311258278145,1.08,1.9245033112582783,4.0,0
50,0,0,0,6.1,2,1.65,1,0,561.8,273,53.849999999999994,0,1,0,0,1,0,0,0,0,11.235999999999999,5.46,1.077,0.19725274725274722,0.825,2.0578754578754577,3.05,0
82,0,0,0,11.7,4,3.16,0,1,751.4000000000001,282,78.59,0,1,0,0,0,0,0,0,1,9.163414634146342,3.4390243902439024,0.9584146341463415,0.27868794326241136,0.79,2.664539007092199,2.925,0
144,0,0,0,8.2,7,2.21,4,1,311.7,301,24.81,1,0,0,0,0,0,0,0,1,2.1645833333333333,2.0902777777777777,0.17229166666666665,0.08242524916943521,0.3157142857142857,1.0355481727574751,1.1714285714285713,0
46,0,0,0,8.2,3,2.21,2,0,556.0,289,58.36,0,1,0,0,1,0,0,0,0,12.08695652173913,6.282608695652174,1.268695652173913,0.20193771626297577,0.7366666666666667,1.9238754325259515,2.733333333333333,0
70,0,0,0,15.0,2,4.05,1,0,554.0,276,52.41,1,0,0,1,0,0,0,0,0,7.914285714285715,3.942857142857143,0.7487142857142857,0.18989130434782608,2.025,2.0072463768115942,7.5,0
144,0,0,0,13.2,2,3.56,1,0,728.6,292,70.07,0,1,0,0,0,0,0,1,0,5.059722222222223,2.0277777777777777,0.4865972222222222,0.2399657534246575,1.78,2.495205479452055,6.6,0
116,1,0,0,12.6,5,3.4,3,0,698.7,292,66.56,0,1,0,0,0,0,0,0,1,6.0232758620689655,2.5172413793103448,0.5737931034482758,0.22794520547945207,0.6799999999999999,2.3928082191780824,2.52,0
70,0,1,24,9.8,4,2.65,1,0,731.9,267,74.51,0,1,0,0,0,0,0,0,1,10.455714285714285,3.8142857142857145,1.0644285714285715,0.27906367041198504,0.6625,2.7411985018726592,2.45,0
128,0,1,29,8.6,7,2.32,0,0,728.2,268,64.22,0,0,1,0,0,0,0,0,1,5.6890625,2.09375,0.50171875,0.2396268656716418,0.3314285714285714,2.717164179104478,1.2285714285714284,0
94,0,0,0,8.0,5,2.16,4,1,502.5,290,48.55,1,0,0,0,0,0,0,0,1,5.345744680851064,3.0851063829787235,0.5164893617021277,0.16741379310344826,0.43200000000000005,1.7327586206896552,1.6,0
111,0,0,0,12.0,2,3.24,1,0,605.2,292,62.36,0,0,1,0,0,0,0,1,0,5.4522522522522525,2.630630630630631,0.5618018018018018,0.21356164383561643,1.62,2.0726027397260274,6.0,0
74,0,1,35,10.9,9,2.94,2,0,479.6,245,45.78,0,1,0,0,0,0,0,0,1,6.481081081081081,3.310810810810811,0.6186486486486487,0.18685714285714286,0.32666666666666666,1.9575510204081634,1.2111111111111112,0
128,0,0,0,13.9,4,3.75,1,1,694.4,286,70.89,0,1,0,0,0,1,0,0,0,5.425,2.234375,0.553828125,0.24786713286713286,0.9375,2.427972027972028,3.475,0
82,0,0,0,11.1,2,3.0,1,0,448.4,260,45.96,0,0,1,0,0,0,0,0,1,5.468292682926829,3.1707317073170733,0.5604878048780488,0.17676923076923076,1.5,1.7246153846153844,5.55,0
155,0,0,0,8.9,4,2.4,0,1,590.3,323,59.63,0,1,0,0,0,0,0,0,1,3.8083870967741933,2.0838709677419356,0.38470967741935486,0.18461300309597525,0.6,1.8275541795665633,2.225,0
80,0,0,0,7.9,9,2.13,1,0,550.5,269,47.230000000000004,0,1,0,0,0,0,0,0,1,6.88125,3.3625,0.5903750000000001,0.17557620817843866,0.23666666666666666,2.046468401486989,0.8777777777777778,0
78,0,0,0,9.5,7,2.57,3,0,695.2,310,70.03,0,1,0,0,0,0,0,0,1,8.912820512820513,3.9743589743589745,0.8978205128205128,0.2259032258064516,0.3671428571428571,2.2425806451612904,1.3571428571428572,0
90,0,0,0,10.6,7,2.86,3,0,497.4,243,52.4,0,1,0,0,0,0,0,0,1,5.526666666666666,2.7,0.5822222222222222,0.2156378600823045,0.40857142857142853,2.0469135802469136,1.5142857142857142,0
73,0,0,0,13.0,4,3.51,0,0,547.5,254,53.17999999999999,0,1,0,0,0,0,0,0,1,7.5,3.4794520547945207,0.7284931506849314,0.20937007874015745,0.8775,2.155511811023622,3.25,0
99,0,0,0,8.7,3,2.35,4,0,596.4,276,59.900000000000006,0,1,0,0,0,0,0,0,1,6.024242424242424,2.787878787878788,0.6050505050505051,0.2170289855072464,0.7833333333333333,2.160869565217391,2.9,0
120,0,0,0,5.3,5,1.43,1,1,588.7,331,61.379999999999995,1,0,0,0,0,0,0,0,1,4.905833333333334,2.7583333333333333,0.5115,0.1854380664652568,0.286,1.7785498489425984,1.06,0
77,0,0,0,9.8,7,2.65,2,1,732.7,307,72.67,0,1,0,0,0,0,0,0,1,9.515584415584415,3.987012987012987,0.9437662337662338,0.2367100977198697,0.37857142857142856,2.3866449511400654,1.4000000000000001,0
98,0,1,21,4.4,8,1.19,4,0,573.5999999999999,289,56.050000000000004,0,0,1,0,0,0,0,0,1,5.853061224489795,2.9489795918367347,0.5719387755102041,0.1939446366782007,0.14875,1.98477508650519,0.55,0
108,0,0,0,14.6,5,3.94,0,0,496.4,315,52.19,0,1,0,0,0,0,0,0,1,4.596296296296296,2.9166666666666665,0.4832407407407407,0.16568253968253968,0.788,1.5758730158730159,2.92,0
95,0,0,0,12.5,9,3.38,1,0,563.9000000000001,307,49.6,1,0,0,0,0,0,0,0,1,5.935789473684212,3.231578947368421,0.5221052631578947,0.16156351791530946,0.37555555555555553,1.8368078175895768,1.3888888888888888,0
122,0,0,0,11.3,2,3.05,1,0,592.8,278,54.94,1,0,0,0,0,0,0,0,1,4.859016393442623,2.278688524590164,0.450327868852459,0.19762589928057553,1.525,2.1323741007194243,5.65,0
95,0,0,0,11.8,4,3.19,4,0,615.3,278,64.94,1,0,0,0,0,0,0,0,1,6.476842105263158,2.9263157894736844,0.6835789473684211,0.23359712230215826,0.7975,2.2133093525179857,2.95,0
36,0,1,29,9.0,6,2.43,2,0,670.8,291,73.45,0,0,1,0,0,0,0,0,1,18.633333333333333,8.083333333333334,2.040277777777778,0.25240549828178693,0.405,2.3051546391752575,1.5,0
93,0,1,21,9.8,3,2.65,1,0,499.4,332,43.779999999999994,0,0,1,0,0,0,0,0,1,5.369892473118279,3.5698924731182795,0.47075268817204297,0.13186746987951806,0.8833333333333333,1.5042168674698795,3.266666666666667,0
157,0,0,0,9.6,7,2.59,3,0,619.1,319,62.5,1,0,0,0,0,0,0,0,1,3.9433121019108284,2.031847133757962,0.3980891719745223,0.19592476489028213,0.37,1.9407523510971787,1.3714285714285714,0
120,0,0,0,8.3,8,2.24,1,0,601.4,269,60.370000000000005,1,0,0,0,0,0,0,0,1,5.011666666666667,2.2416666666666667,0.5030833333333333,0.22442379182156136,0.28,2.2356877323420075,1.0375,0
98,0,0,0,12.1,4,3.27,4,0,579.5999999999999,343,53.85,1,0,0,0,0,0,0,0,1,5.914285714285714,3.5,0.5494897959183673,0.15699708454810496,0.8175,1.6897959183673468,3.025,0
125,0,0,0,13.3,7,3.59,1,0,580.5,312,50.199999999999996,1,0,0,0,0,0,0,0,1,4.644,2.496,0.40159999999999996,0.16089743589743588,0.5128571428571428,1.8605769230769231,1.9000000000000001,0
63,0,0,0,9.4,3,2.54,1,0,439.9,272,33.94,0,1,0,0,0,0,0,0,1,6.982539682539683,4.317460317460317,0.5387301587301587,0.12477941176470587,0.8466666666666667,1.6172794117647058,3.1333333333333333,0
36,1,1,42,20.0,6,5.4,0,1,590.0,337,61.35,0,0,1,0,0,0,0,0,1,16.38888888888889,9.36111111111111,1.7041666666666666,0.18204747774480712,0.9,1.7507418397626113,3.3333333333333335,1
64,0,0,0,14.2,3,3.83,1,0,372.4,314,43.18000000000001,0,0,1,0,0,1,0,0,0,5.81875,4.90625,0.6746875000000001,0.137515923566879,1.2766666666666666,1.1859872611464968,4.733333333333333,0
74,0,0,0,9.4,4,2.54,1,1,672.4,277,74.37,0,1,0,0,0,0,0,0,1,9.086486486486486,3.7432432432432434,1.0050000000000001,0.2684837545126354,0.635,2.427436823104693,2.35,0
46,0,0,0,13.1,7,3.54,1,0,637.6,285,64.05,1,0,0,0,0,0,0,0,1,13.860869565217392,6.195652173913044,1.392391304347826,0.22473684210526315,0.5057142857142857,2.2371929824561403,1.8714285714285714,0
41,0,1,22,7.2,3,1.94,0,0,497.8,311,54.800000000000004,1,0,0,0,0,0,1,0,0,12.141463414634147,7.585365853658536,1.3365853658536586,0.1762057877813505,0.6466666666666666,1.6006430868167203,2.4,0
121,0,0,0,9.8,4,2.65,3,0,595.0,323,57.96,0,0,1,1,0,0,0,0,0,4.917355371900826,2.669421487603306,0.4790082644628099,0.17944272445820433,0.6625,1.8421052631578947,2.45,0
193,0,0,0,11.6,3,3.13,1,0,416.1,308,45.379999999999995,0,1,0,0,0,0,0,0,1,2.155958549222798,1.5958549222797926,0.23512953367875644,0.14733766233766232,1.0433333333333332,1.350974025974026,3.8666666666666667,0
130,0,0,0,9.2,5,2.48,2,0,491.79999999999995,334,45.81,0,0,1,0,0,0,0,0,1,3.783076923076923,2.5692307692307694,0.3523846153846154,0.13715568862275448,0.496,1.4724550898203592,1.8399999999999999,0
85,0,0,0,12.0,3,3.24,1,0,683.3,262,65.1,1,0,0,0,0,0,0,0,1,8.038823529411765,3.0823529411764707,0.7658823529411765,0.24847328244274808,1.08,2.6080152671755723,4.0,0
162,0,0,0,9.1,3,2.46,4,1,383.0,277,32.38,0,1,0,0,0,0,0,0,1,2.3641975308641974,1.7098765432098766,0.19987654320987655,0.11689530685920578,0.82,1.3826714801444044,3.033333333333333,0
61,0,1,27,6.4,6,1.73,4,1,559.8,356,54.5,0,0,1,0,0,0,0,0,1,9.177049180327868,5.836065573770492,0.8934426229508197,0.15308988764044945,0.28833333333333333,1.5724719101123594,1.0666666666666667,0
92,0,0,0,9.2,4,2.48,2,0,460.4,299,39.93,1,0,0,0,0,0,1,0,0,5.004347826086956,3.25,0.4340217391304348,0.13354515050167223,0.62,1.5397993311036788,2.3,0
90,0,0,0,10.9,2,2.94,3,0,510.1,329,49.849999999999994,0,1,0,0,0,0,0,0,1,5.667777777777778,3.6555555555555554,0.5538888888888889,0.15151975683890576,1.47,1.5504559270516718,5.45,0
75,0,0,0,6.1,5,1.65,1,0,581.2,291,53.269999999999996,1,0,0,0,0,0,0,0,1,7.749333333333334,3.88,0.7102666666666666,0.18305841924398625,0.32999999999999996,1.9972508591065294,1.22,0
78,0,0,0,9.5,3,2.57,1,0,722.8,375,70.61,0,1,0,0,0,1,0,0,0,9.266666666666666,4.8076923076923075,0.9052564102564102,0.18829333333333334,0.8566666666666666,1.9274666666666664,3.1666666666666665,0
82,0,0,0,7.1,1,1.92,4,0,607.6,258,60.42,1,0,0,0,0,0,1,0,0,7.409756097560976,3.1463414634146343,0.7368292682926829,0.23418604651162792,1.92,2.3550387596899225,7.1,0
163,0,0,0,9.1,10,2.46,1,0,606.0,317,60.0,1,0,0,0,0,0,0,0,1,3.7177914110429446,1.9447852760736197,0.36809815950920244,0.1892744479495268,0.246,1.911671924290221,0.9099999999999999,0
91,1,0,0,11.2,3,3.02,3,0,550.4000000000001,325,47.93,0,0,1,0,0,0,0,0,1,6.048351648351649,3.5714285714285716,0.5267032967032967,0.1474769230769231,1.0066666666666666,1.6935384615384619,3.733333333333333,0
127,0,1,36,11.2,8,3.02,1,0,573.3,264,53.77,0,0,1,0,0,0,0,0,1,4.514173228346456,2.078740157480315,0.4233858267716536,0.20367424242424242,0.3775,2.171590909090909,1.4,0
113,0,1,23,10.2,5,2.75,2,0,515.6,220,54.910000000000004,0,1,0,0,0,0,0,0,1,4.56283185840708,1.9469026548672566,0.48592920353982305,0.2495909090909091,0.55,2.3436363636363637,2.04,0
110,0,0,0,12.4,3,3.35,1,0,618.5,311,57.449999999999996,0,0,1,0,0,0,0,0,1,5.622727272727273,2.827272727272727,0.5222727272727272,0.1847266881028939,1.1166666666666667,1.9887459807073955,4.133333333333334,0
120,0,1,39,10.5,4,2.84,0,0,674.5,281,64.2,0,1,0,1,0,0,0,0,0,5.620833333333334,2.341666666666667,0.535,0.22846975088967972,0.71,2.400355871886121,2.625,0
157,0,1,28,6.8,5,1.84,3,0,497.8,320,54.3,0,1,0,0,0,0,0,0,1,3.170700636942675,2.038216560509554,0.34585987261146495,0.1696875,0.368,1.555625,1.3599999999999999,0
103,0,0,0,11.7,4,3.16,1,0,642.5,227,67.55,0,0,1,0,0,0,0,0,1,6.237864077669903,2.203883495145631,0.6558252427184466,0.2975770925110132,0.79,2.8303964757709252,2.925,0
117,1,0,0,14.1,7,3.81,2,1,594.0,305,54.72,1,0,0,0,0,0,0,0,1,5.076923076923077,2.606837606837607,0.4676923076923077,0.17940983606557376,0.5442857142857143,1.9475409836065574,2.0142857142857142,0
121,0,0,0,8.5,5,2.3,1,0,561.5,322,56.69,1,0,0,0,0,0,0,0,1,4.640495867768595,2.6611570247933884,0.46851239669421485,0.176055900621118,0.45999999999999996,1.7437888198757765,1.7,0
145,0,1,43,11.1,4,3.0,2,0,706.6999999999999,278,70.5,1,0,0,0,0,0,0,0,1,4.873793103448276,1.9172413793103449,0.4862068965517241,0.25359712230215825,0.75,2.5420863309352515,2.775,0
113,0,0,0,10.6,6,2.86,1,0,587.5,291,59.52,1,0,0,0,0,0,0,0,1,5.199115044247788,2.575221238938053,0.5267256637168142,0.2045360824742268,0.4766666666666666,2.0189003436426116,1.7666666666666666,0
117,0,0,0,10.1,7,2.73,1,0,608.5,315,48.51,0,1,0,0,0,0,0,0,1,5.200854700854701,2.6923076923076925,0.4146153846153846,0.154,0.39,1.9317460317460318,1.4428571428571428,0
